name,pos_detail,team_full,fa_type,snap_pct,age,prior_apy,prior_gtd,team,pos_group,slug
Jake Browning,QB,Buccaneers,UFA,19.1,31.0,1332500.0,400000.0,TB,QB,jake-browning
Jordan Battle,S,Bengals,UFA,96.1,27.0,1331254.0,872740.0,CIN,S,jordan-battle
Tre Tucker,WR,Raiders,UFA,94.9,26.0,1326021.0,857512.0,LV,WR,tre-tucker
Mekhi Blackmon,CB,Colts,UFA,67.3,28.0,1326021.0,857512.0,IND,CB,mekhi-blackmon
D.J. Davidson,IDL,Commanders,UFA,23.0,28.0,1325000.0,20000.0,WAS,IDL,dj-davidson
James Lynch,IDL,Bears,UFA,31.5,28.0,1315000.0,100000.0,CHI,IDL,james-lynch
Marco Wilson,CB,Dolphins,UFA,2.0,28.0,1315000.0,0.0,MIA,CB,marco-wilson
Derion Kendrick,CB,Cowboys,UFA,11.9,27.0,1315000.0,0.0,DAL,CB,derion-kendrick
Jack Stoll,TE,Browns,UFA,18.6,29.0,1315000.0,0.0,CLE,TE,jack-stoll
Mike Brown,S,Patriots,UFA,2.8,28.0,1315000.0,50000.0,NE,S,mike-brown
Jaylon Jones,CB,Bears,UFA,3.6,30.0,1315000.0,707500.0,CHI,CB,jaylon-jones
Elijah Moore,WR,Eagles,UFA,16.4,27.0,1315000.0,0.0,PHI,WR,elijah-moore
Kristian Welch,LB,Packers,UFA,0.2,29.0,1310000.0,10000.0,GB,LB,kristian-welch
Corey Ballentine,CB,Cowboys,UFA,2.1,31.0,1300000.0,0.0,DAL,CB,corey-ballentine
Cody Ford,RG,Bengals,UFA,6.6,31.0,1300000.0,0.0,CIN,OL,cody-ford
Cam Jones,LB,Giants,UFA,0.4,28.0,1300000.0,225000.0,NYG,LB,cam-jones
Travis Homer,RB,Steelers,UFA,0.5,29.0,1300000.0,0.0,PIT,RB,travis-homer
Trent Sherfield,WR,Bills,UFA,16.3,31.0,1300000.0,0.0,BUF,WR,trent-sherfield
Jordan McFadden,LG,Bears,UFA,0.2,28.0,1300000.0,25000.0,CHI,OL,jordan-mcfadden
Phillip Dorsett,WR,Raiders,UFA,0.0,34.0,1300000.0,0.0,LV,WR,phillip-dorsett
Joshua Ezeudu,LG,Giants,UFA,0.0,28.0,1300000.0,410300.0,NYG,OL,joshua-ezeudu
Eli Apple,CB,49ers,UFA,0.1,32.0,1300000.0,0.0,SF,CB,eli-apple
Devin Singletary,RB,Giants,UFA,27.0,30.0,1300000.0,0.0,NYG,RB,devin-singletary
Rakeem Nunez-Roches,IDL,Buccaneers,UFA,21.6,34.0,1300000.0,300000.0,TB,IDL,rakeem-nunez-roches
Kyler Murray,QB,Vikings,UFA,28.0,30.0,1300000.0,0.0,MIN,QB,kyler-murray
Tyler Conklin,TE,Lions,UFA,14.8,32.0,1300000.0,0.0,DET,TE,tyler-conklin
Cameron Johnston,P,Steelers,UFA,7.9,35.0,1300000.0,0.0,PIT,ST,cameron-johnston
Trevor Siemian,QB,Falcons,UFA,0.0,36.0,1300000.0,0.0,ATL,QB,trevor-siemian
Claudin Cherelus,LB,Panthers,UFA,19.6,28.0,1295000.0,461300.0,CAR,LB,claudin-cherelus
Dameon Pierce,RB,Eagles,UFA,2.4,27.0,1290000.0,250000.0,PHI,RB,dameon-pierce
Corliss Waitman,P,49ers,UFA,28.2,32.0,1290000.0,475000.0,SF,ST,corliss-waitman
Stone Smartt,TE,Eagles,UFA,8.1,29.0,1290000.0,225000.0,PHI,TE,stone-smartt
Leki Fotu,IDL,Giants,UFA,17.5,29.0,1290000.0,25000.0,NYG,IDL,leki-fotu
Ross Matiscik,LS,Jaguars,UFA,30.2,31.0,1267500.0,800000.0,JAX,ST,ross-matiscik
DeeJay Dallas,RB,Jaguars,UFA,2.4,29.0,1265000.0,200000.0,JAX,RB,deejay-dallas
Harrison Bryant,TE,Seahawks,UFA,14.9,29.0,1265000.0,50000.0,SEA,TE,harrison-bryant
Damar Hamlin,S,Bills,UFA,1.2,29.0,1265000.0,25000.0,BUF,S,damar-hamlin
Ta'Quon Graham,IDL,Eagles,UFA,5.2,29.0,1265000.0,125000.0,PHI,IDL,taquon-graham
Feleipe Franks,TE,Panthers,UFA,1.4,30.0,1265000.0,0.0,CAR,TE,feleipe-franks
Spencer Shrader,K,Colts,RFA,12.4,28.0,1255000.0,750000.0,IND,ST,spencer-shrader
Ronnie Rivers,RB,Rams,UFA,1.7,28.0,1251000.0,330300.0,LAR,RB,ronnie-rivers
Emari Demercado,RB,Chiefs,UFA,17.3,28.0,1250000.0,550000.0,KC,RB,emari-demercado
Tyrus Wheat,EDGE,Cowboys,UFA,6.0,28.0,1245000.0,100000.0,DAL,EDGE,tyrus-wheat
Isaiah Hodgins,WR,Giants,UFA,31.6,29.0,1240000.0,0.0,NYG,WR,isaiah-hodgins
Keith Taylor,CB,Jaguars,UFA,5.9,28.0,1240000.0,0.0,JAX,CB,keith-taylor
Garret Wallow,LB,49ers,UFA,4.2,28.0,1240000.0,330300.0,SF,LB,garret-wallow
Teagan Quitoriano,TE,Cardinals,UFA,12.1,27.0,1240000.0,0.0,ARI,TE,teagan-quitoriano
Shemar Jean-Charles,CB,Seahawks,UFA,0.0,29.0,1240000.0,0.0,SEA,CB,shemar-jean-charles
Cal Adomitis,LS,Steelers,UFA,18.5,29.0,1240000.0,0.0,PIT,ST,cal-adomitis
Joe Giles-Harris,LB,Bengals,RFA,2.9,30.0,1235000.0,0.0,CIN,LB,joe-giles-harris
Tom Kennedy,WR,Lions,UFA,4.4,31.0,1235000.0,20000.0,DET,WR,tom-kennedy
Christian Kuntz,LS,Steelers,UFA,0.0,33.0,1225000.0,325000.0,PIT,ST,christian-kuntz
Alex Austin,CB,Dolphins,UFA,14.1,26.0,1220000.0,0.0,MIA,CB,alex-austin
Cameron Mitchell,CB,Colts,UFA,22.7,26.0,1220000.0,25000.0,IND,CB,cameron-mitchell
Albert Okwuegbunam,TE,Raiders,UFA,3.1,29.0,1215000.0,0.0,LV,TE,albert-okwuegbunam
Ben Bartch,LT,Lions,UFA,17.8,29.0,1215000.0,330300.0,DET,OL,ben-bartch
Darnay Holmes,CB,Falcons,UFA,15.4,29.0,1215000.0,0.0,ATL,CB,darnay-holmes
Tyre Phillips,LG,Browns,UFA,0.0,30.0,1215000.0,0.0,CLE,OL,tyre-phillips
Malik Turner,WR,49ers,UFA,1.5,31.0,1215000.0,0.0,SF,WR,malik-turner
Julian Okwara,EDGE,Browns,UFA,0.0,30.0,1215000.0,0.0,CLE,EDGE,julian-okwara
Parris Campbell,WR,Cowboys,UFA,0.2,30.0,1215000.0,0.0,DAL,WR,parris-campbell
Jedrick Wills,LT,Bears,UFA,0.0,28.0,1215000.0,0.0,CHI,OL,jedrick-wills
Tua Tagovailoa,QB,Falcons,UFA,79.1,29.0,1215000.0,0.0,ATL,QB,tua-tagovailoa
Nasir Adderley,S,Colts,UFA,0.0,30.0,1215000.0,0.0,IND,S,nasir-adderley
Kemon Hall,CB,Buccaneers,UFA,6.2,30.0,1215000.0,0.0,TB,CB,kemon-hall
David Sills,WR,Buccaneers,UFA,51.6,32.0,1215000.0,0.0,TB,WR,david-sills
Michael Deiter,C,Broncos,UFA,0.0,31.0,1215000.0,0.0,DEN,OL,michael-deiter
D'Angelo Ross,CB,Browns,UFA,3.9,31.0,1215000.0,0.0,CLE,CB,dangelo-ross
Will Grier,QB,Panthers,UFA,0.0,32.0,1215000.0,0.0,CAR,QB,will-grier
Saahdiq Charles,LT,Panthers,UFA,0.0,28.0,1215000.0,0.0,CAR,OL,saahdiq-charles
Ihmir Smith-Marsette,WR,Cardinals,UFA,0.0,28.0,1215000.0,0.0,ARI,WR,ihmir-smith-marsette
Amani Oruwariye,CB,Ravens,UFA,0.0,31.0,1215000.0,0.0,BAL,CB,amani-oruwariye
Tre Avery,CB,Browns,UFA,4.0,30.0,1215000.0,0.0,CLE,CB,tre-avery
Evan Neal,RG,Giants,UFA,0.0,27.0,1215000.0,0.0,NYG,OL,evan-neal
Ben Cleveland,RG,Chargers,UFA,0.3,29.0,1215000.0,0.0,LAC,OL,ben-cleveland
Cole Christiansen,LB,Chiefs,RFA,2.2,30.0,1215000.0,247500.0,KC,LB,cole-christiansen
Terrace Marshall Jr.,WR,Dolphins,UFA,0.0,27.0,1215000.0,0.0,MIA,WR,terrace-marshall-jr
Troy Andersen,LB,Falcons,UFA,0.0,28.0,1215000.0,0.0,ATL,LB,troy-andersen
Jack Sanborn,LB,Bears,UFA,20.8,27.0,1215000.0,0.0,CHI,LB,jack-sanborn
Patrick Taylor,RB,49ers,UFA,0.0,29.0,1215000.0,0.0,SF,RB,patrick-taylor
Dan Chisena,WR,Panthers,UFA,0.4,30.0,1215000.0,0.0,CAR,WR,dan-chisena
Nephi Sewell,LB,Bears,RFA,0.0,29.0,1215000.0,0.0,CHI,LB,nephi-sewell
Velus Jones Jr.,RB,Seahawks,UFA,0.8,30.0,1215000.0,0.0,SEA,RB,velus-jones-jr
Zach Triner,LS,Giants,UFA,1.9,36.0,1215000.0,0.0,NYG,ST,zach-triner
Levi Onwuzurike,IDL,Lions,UFA,0.0,29.0,1215000.0,0.0,DET,IDL,levi-onwuzurike
Channing Tindall,LB,Falcons,UFA,0.3,27.0,1215000.0,0.0,ATL,LB,channing-tindall
Elijah Garcia,IDL,Falcons,RFA,8.0,29.0,1215000.0,0.0,ATL,IDL,elijah-garcia
Michael Carter,RB,Titans,UFA,34.6,28.0,1215000.0,0.0,TEN,RB,michael-carter
Dallis Flowers,CB,Bears,RFA,0.0,30.0,1215000.0,0.0,CHI,CB,dallis-flowers
Jack Jones,CB,49ers,UFA,91.5,30.0,1215000.0,0.0,SF,CB,jack-jones
Pierre Strong Jr.,RB,Packers,UFA,0.0,29.0,1215000.0,0.0,GB,RB,pierre-strong-jr
Bailey Zappe,QB,Jets,UFA,0.0,28.0,1215000.0,0.0,NYJ,QB,bailey-zappe
A.J. Green,CB,Dolphins,UFA,0.7,29.0,1215000.0,0.0,MIA,CB,aj-green
Tanner Conner,WR,Giants,UFA,18.4,29.0,1215000.0,0.0,NYG,WR,tanner-conner
Nick Leverett,LG,Cowboys,UFA,0.0,30.0,1215000.0,0.0,DAL,OL,nick-leverett
Ty Chandler,RB,Saints,UFA,4.2,29.0,1215000.0,0.0,NO,RB,ty-chandler
Samuel Womack,CB,Jets,UFA,11.6,28.0,1215000.0,0.0,NYJ,CB,samuel-womack
Joe Bachie,LB,Lions,UFA,13.4,29.0,1215000.0,0.0,DET,LB,joe-bachie
Nick Zakelj,LG,49ers,UFA,2.0,28.0,1215000.0,0.0,SF,OL,nick-zakelj
Calvin Throckmorton,RG,Broncos,UFA,3.0,31.0,1215000.0,0.0,DEN,OL,calvin-throckmorton
Sean McKeon,TE,Colts,UFA,0.7,30.0,1215000.0,0.0,IND,TE,sean-mckeon
Ja'Sir Taylor,CB,Bengals,UFA,12.3,28.0,1215000.0,0.0,CIN,CB,jasir-taylor
Jay Tufele,IDL,Lions,UFA,20.4,28.0,1215000.0,0.0,DET,IDL,jay-tufele
Sam Roberts,IDL,Giants,UFA,9.2,29.0,1215000.0,0.0,NYG,IDL,sam-roberts
Quez Watkins,WR,Eagles,UFA,0.0,29.0,1215000.0,0.0,PHI,WR,quez-watkins
Darrick Forrest,S,49ers,UFA,0.0,28.0,1215000.0,0.0,SF,S,darrick-forrest
Malik Herring,EDGE,Titans,UFA,0.6,30.0,1215000.0,0.0,TEN,EDGE,malik-herring
Foster Sarell,LT,Commanders,UFA,15.5,29.0,1215000.0,0.0,WAS,OL,foster-sarell
Robert Rochell,CB,Panthers,UFA,0.0,29.0,1215000.0,0.0,CAR,CB,robert-rochell
Tim Jones,WR,Jaguars,UFA,2.3,29.0,1215000.0,0.0,JAX,WR,tim-jones
Marlon Tuipulotu,IDL,Giants,UFA,1.6,28.0,1215000.0,0.0,NYG,IDL,marlon-tuipulotu
Tyler Johnson,WR,Cowboys,UFA,27.9,29.0,1215000.0,0.0,DAL,WR,tyler-johnson
Curtis Robinson,LB,Cowboys,UFA,22.9,29.0,1215000.0,0.0,DAL,LB,curtis-robinson
Sam Kamara,IDL,Browns,UFA,9.1,30.0,1215000.0,0.0,CLE,IDL,sam-kamara
Brandon Parker,RT,49ers,UFA,0.0,32.0,1215000.0,0.0,SF,OL,brandon-parker
Larrell Murchison,EDGE,Rams,UFA,11.2,30.0,1215000.0,330300.0,LAR,EDGE,larrell-murchison
K.J. Osborn,WR,Titans,UFA,0.0,30.0,1215000.0,0.0,TEN,WR,kj-osborn
Austin Deculus,RT,Titans,UFA,45.1,28.0,1200000.0,25000.0,TEN,OL,austin-deculus
Blake Grupe,K,Colts,UFA,30.4,29.0,1195000.0,0.0,IND,ST,blake-grupe
Jovaughn Gwyn,C,Ravens,UFA,1.0,28.0,1195000.0,0.0,BAL,OL,jovaughn-gwyn
Phidarian Mathis,IDL,Bills,UFA,12.2,29.0,1195000.0,25000.0,BUF,IDL,phidarian-mathis
Zonovan Knight,RB,Cardinals,UFA,24.9,26.0,1195000.0,25000.0,ARI,RB,zonovan-knight
Robert Beal Jr.,EDGE,Dolphins,UFA,9.6,28.0,1195000.0,50000.0,MIA,EDGE,robert-beal-jr
C.J. Henderson,CB,Falcons,UFA,14.8,29.0,1192500.0,0.0,ATL,CB,cj-henderson
Kendrick Green,RG,Browns,UFA,0.0,29.0,1192500.0,0.0,CLE,OL,kendrick-green
Tre Brown,CB,Jets,UFA,5.0,30.0,1192500.0,0.0,NYJ,CB,tre-brown
Nick Saldiveri,LG,Saints,UFA,0.0,27.0,1186320.0,842280.0,NO,OL,nick-saldiveri
Zaire Barnes,LB,Giants,UFA,8.3,28.0,1175000.0,250000.0,NYG,LB,zaire-barnes
Jelani Woods,TE,Jets,UFA,5.7,29.0,1175000.0,0.0,NYJ,TE,jelani-woods
Chad Muma,LB,Patriots,UFA,5.1,28.0,1170000.0,0.0,NE,LB,chad-muma
Jakorian Bennett,CB,Eagles,UFA,9.0,27.0,1165897.0,823588.0,PHI,CB,jakorian-bennett
Kelee Ringo,CB,Eagles,UFA,27.6,25.0,1165232.0,820928.0,PHI,CB,kelee-ringo
Blake Freeland,LT,Colts,UFA,0.0,26.0,1163972.0,815888.0,IND,OL,blake-freeland
Ambry Thomas,CB,Eagles,UFA,0.0,28.0,1162500.0,17500.0,PHI,CB,ambry-thomas
Jake Andrews,C,Texans,UFA,94.2,28.0,1162086.0,808344.0,HOU,OL,jake-andrews
Anthony Bradford,RG,Seahawks,UFA,96.3,26.0,1160997.0,803988.0,SEA,OL,anthony-bradford
Dylan Horton,EDGE,Texans,UFA,23.5,27.0,1160261.0,801044.0,HOU,EDGE,dylan-horton
Adetomiwa Adebawore,EDGE,Colts,UFA,47.1,26.0,1159228.0,796912.0,IND,EDGE,adetomiwa-adebawore
Zachary Carter,IDL,Cardinals,UFA,8.7,28.0,1157500.0,0.0,ARI,IDL,zachary-carter
Britain Covey,WR,Eagles,UFA,3.8,30.0,1157500.0,0.0,PHI,WR,britain-covey
Deven Thompkins,WR,Falcons,UFA,2.0,28.0,1157500.0,0.0,ATL,WR,deven-thompkins
Austin Trammell,WR,Jaguars,UFA,7.9,29.0,1155000.0,10000.0,JAX,WR,austin-trammell
Clark Phillips III,CB,Falcons,UFA,0.0,26.0,1153383.0,773532.0,ATL,CB,clark-phillips-iii
Chandler Zavala,RG,Panthers,UFA,20.0,28.0,1152934.0,771736.0,CAR,OL,chandler-zavala
Roschon Johnson,RB,Bears,UFA,0.3,26.0,1152172.0,768688.0,CHI,RB,roschon-johnson
Colby Wooden,IDL,Colts,UFA,52.4,27.0,1151982.0,767928.0,IND,IDL,colby-wooden
Shane Buechele,QB,Bills,UFA,2.6,29.0,1150000.0,50000.0,BUF,QB,shane-buechele
Chamarri Conner,S,Chiefs,UFA,98.2,27.0,1147841.0,751364.0,KC,S,chamarri-conner
Blake Whiteheart,TE,Browns,UFA,22.6,27.0,1145000.0,0.0,CLE,TE,blake-whiteheart
Christian Braswell,CB,Jaguars,RFA,14.5,28.0,1145000.0,0.0,JAX,CB,christian-braswell
Myles Adams,EDGE,Lions,UFA,0.0,29.0,1145000.0,0.0,DET,EDGE,myles-adams
Jerrick Reed,S,Titans,UFA,6.9,27.0,1145000.0,0.0,TEN,S,jerrick-reed
Kaevon Merriweather,S,Texans,UFA,2.4,28.0,1145000.0,0.0,HOU,S,kaevon-merriweather
Stephen Carlson,TE,Bears,UFA,1.2,31.0,1145000.0,0.0,CHI,TE,stephen-carlson
Matt Henningsen,IDL,Broncos,UFA,0.0,28.0,1145000.0,0.0,DEN,IDL,matt-henningsen
Benton Whitley,EDGE,Buccaneers,RFA,0.0,28.0,1145000.0,0.0,TB,EDGE,benton-whitley
Jeremiah Pharms,IDL,Patriots,RFA,4.6,31.0,1145000.0,0.0,NE,IDL,jeremiah-pharms
Cody White,WR,Seahawks,UFA,15.3,29.0,1145000.0,0.0,SEA,WR,cody-white
Jonathan Garvin,EDGE,Bears,UFA,0.0,28.0,1145000.0,0.0,CHI,EDGE,jonathan-garvin
Caleb Murphy,EDGE,Giants,UFA,13.0,28.0,1145000.0,0.0,NYG,EDGE,caleb-murphy
Kion Smith,RT,Dolphins,UFA,15.0,29.0,1145000.0,0.0,MIA,OL,kion-smith
Nick Hampton,EDGE,Panthers,UFA,10.0,27.0,1145000.0,0.0,CAR,EDGE,nick-hampton
Jonathan Mingo,WR,Cowboys,UFA,6.7,26.0,1145000.0,0.0,DAL,WR,jonathan-mingo
Isaiah Foskey,EDGE,Bengals,UFA,3.1,27.0,1145000.0,0.0,CIN,EDGE,isaiah-foskey
Ethan Bonner,CB,Dolphins,RFA,8.4,28.0,1145000.0,0.0,MIA,CB,ethan-bonner
Jaret Patterson,RB,Chargers,RFA,10.1,28.0,1145000.0,0.0,LAC,RB,jaret-patterson
Ty Okada,CB,Seahawks,ERFA,65.8,28.0,1145000.0,0.0,SEA,CB,ty-okada
Milo Eifler,LB,49ers,UFA,0.0,29.0,1145000.0,0.0,SF,LB,milo-eifler
Gary Brightwell,RB,Bengals,UFA,0.0,29.0,1145000.0,0.0,CIN,RB,gary-brightwell
Trey Hill,C,Titans,UFA,0.0,27.0,1145000.0,0.0,TEN,OL,trey-hill
Brandon Johnson,WR,Steelers,UFA,0.0,29.0,1145000.0,0.0,PIT,WR,brandon-johnson
Ja'Marcus Ingram,CB,Texans,RFA,10.2,30.0,1145000.0,0.0,HOU,CB,jamarcus-ingram
Segun Olubi,LB,Raiders,UFA,0.5,28.0,1145000.0,0.0,LV,LB,segun-olubi
Kahlef Hailassie,CB,Vikings,RFA,0.0,27.0,1145000.0,0.0,MIN,CB,kahlef-hailassie
Tariq Castro-Fields,CB,Eagles,RFA,0.0,28.0,1145000.0,0.0,PHI,CB,tariq-castro-fields
Alex Ward,LS,Raiders,UFA,14.6,28.0,1145000.0,0.0,LV,ST,alex-ward
Bo Melton,WR,Packers,RFA,9.1,28.0,1145000.0,0.0,GB,WR,bo-melton
Lawrence Cager,WR,Commanders,UFA,0.1,30.0,1145000.0,0.0,WAS,WR,lawrence-cager
Zachary Thomas,RG,49ers,UFA,0.0,29.0,1145000.0,0.0,SF,OL,zachary-thomas
Chase Lucas,CB,Buccaneers,UFA,9.0,30.0,1145000.0,0.0,TB,CB,chase-lucas
Matthew Butler,IDL,Dolphins,UFA,20.1,28.0,1145000.0,0.0,MIA,IDL,matthew-butler
Payton Turner,EDGE,Lions,UFA,0.0,28.0,1145000.0,0.0,DET,EDGE,payton-turner
Russ Yeast,S,Bengals,RFA,0.0,28.0,1145000.0,0.0,CIN,S,russ-yeast
Skylar Thompson,QB,Ravens,UFA,0.0,30.0,1145000.0,0.0,BAL,QB,skylar-thompson
Jalen Graham,LB,49ers,RFA,0.2,27.0,1145000.0,0.0,SF,LB,jalen-graham
LaBryan Ray,IDL,Panthers,UFA,14.9,30.0,1145000.0,0.0,CAR,IDL,labryan-ray
Tristin McCollum,CB,Raiders,RFA,12.9,28.0,1145000.0,0.0,LV,CB,tristin-mccollum
Josh Sills,LG,Colts,RFA,0.4,29.0,1145000.0,0.0,IND,OL,josh-sills
Cade York,K,Jets,UFA,0.0,26.0,1145000.0,0.0,NYJ,ST,cade-york
Tyler Goodson,RB,Falcons,UFA,3.3,27.0,1145000.0,0.0,ATL,RB,tyler-goodson
Marcelino McCrary-Ball,CB,Jets,RFA,9.4,28.0,1145000.0,0.0,NYJ,CB,marcelino-mccrary-ball
Arron Mosby,EDGE,Packers,UFA,1.5,28.0,1145000.0,0.0,GB,EDGE,arron-mosby
Jesse Luketa,EDGE,Patriots,UFA,0.0,28.0,1145000.0,0.0,NE,EDGE,jesse-luketa
Ventrell Miller,LB,Jaguars,UFA,20.1,28.0,1144234.0,736936.0,JAX,LB,ventrell-miller
Jon Gaines,LG,Cardinals,UFA,29.9,28.0,1143060.0,732240.0,ARI,OL,jon-gaines
Tavius Robinson,EDGE,Ravens,UFA,39.7,28.0,1140141.0,720564.0,BAL,EDGE,tavius-robinson
Isaiah McGuire,EDGE,Browns,UFA,39.1,26.0,1137982.0,711928.0,CLE,EDGE,isaiah-mcguire
Derius Davis,WR,Chargers,UFA,7.3,27.0,1137982.0,711928.0,LAC,WR,derius-davis
Stetson Bennett,QB,Rams,RFA,0.0,30.0,1134783.0,699132.0,LAR,QB,stetson-bennett
Tyler Lacy,IDL,Lions,UFA,21.4,28.0,1131780.0,687120.0,DET,IDL,tyler-lacy
Charlie Jones,WR,Bengals,UFA,1.8,29.0,1129694.0,678776.0,CIN,WR,charlie-jones
Nick Herbig,LB,Steelers,UFA,52.4,26.0,1128231.0,672924.0,PIT,LB,nick-herbig
Jay Ward,S,Vikings,UFA,23.2,27.0,1123386.0,653544.0,MIN,S,jay-ward
Eyioma Uwazurike,IDL,Broncos,UFA,36.4,29.0,1106468.0,765872.0,DEN,IDL,eyioma-uwazurike
Brandon Codrington,CB,Texans,RFA,1.0,27.0,1100000.0,15000.0,HOU,CB,brandon-codrington
Jarrett Kingston,LG,Texans,RFA,2.8,28.0,1100000.0,15000.0,HOU,OL,jarrett-kingston
Shaka Heyward,LB,Bengals,RFA,3.3,27.0,1095000.0,0.0,CIN,LB,shaka-heyward
Zacch Pickens,IDL,Giants,RFA,5.7,27.0,1087500.0,0.0,NYG,IDL,zacch-pickens
James Houston,EDGE,Cowboys,UFA,27.7,29.0,1087500.0,0.0,DAL,EDGE,james-houston
Atonio Mafi,LG,Raiders,RFA,15.3,27.0,1087500.0,0.0,LV,OL,atonio-mafi
Brodric Martin,IDL,Raiders,UFA,0.9,28.0,1087500.0,0.0,LV,IDL,brodric-martin
Jammie Robinson,S,Falcons,UFA,0.0,26.0,1087500.0,0.0,ATL,S,jammie-robinson
Brayden Willis,TE,49ers,UFA,1.2,28.0,1087500.0,0.0,SF,TE,brayden-willis
Jalen Brooks,WR,Cardinals,UFA,9.7,27.0,1087500.0,0.0,ARI,WR,jalen-brooks
Jordon Riley,IDL,Packers,RFA,5.7,29.0,1087500.0,0.0,GB,IDL,jordon-riley
Jarrick Bernard-Converse,CB,Giants,UFA,2.1,27.0,1087500.0,0.0,NYG,CB,jarrick-bernard-converse
Mason Kinsey,WR,Titans,UFA,6.4,29.0,1087500.0,0.0,TEN,WR,mason-kinsey
Patrick O'Connell,LB,Seahawks,RFA,5.0,29.0,1087500.0,0.0,SEA,LB,patrick-oconnell
Andre Baccellia,WR,Cardinals,RFA,8.1,30.0,1087500.0,0.0,ARI,WR,andre-baccellia
Raheem Layne,S,Giants,RFA,9.5,28.0,1087500.0,0.0,NYG,S,raheem-layne
Malik Davis,RB,Cowboys,RFA,13.1,29.0,1087500.0,0.0,DAL,RB,malik-davis
Kingsley Jonathan,EDGE,Jets,RFA,1.5,29.0,1087500.0,0.0,NYJ,EDGE,kingsley-jonathan
Cory Durden,IDL,Patriots,ERFA,37.4,28.0,1087500.0,0.0,NE,IDL,cory-durden
Xavier Gipson,WR,Giants,UFA,0.9,26.0,1087500.0,0.0,NYG,WR,xavier-gipson
Aidan O'Connell,QB,Raiders,UFA,5.1,29.0,1087345.0,509380.0,LV,QB,aidan-oconnell
Nick Broeker,LG,Bills,RFA,0.0,27.0,1080000.0,5000.0,BUF,OL,nick-broeker
Tyler Badie,RB,Broncos,RFA,16.8,28.0,1075000.0,0.0,DEN,RB,tyler-badie
Justin Shorter,WR,Raiders,UFA,0.5,27.0,1075000.0,0.0,LV,WR,justin-shorter
Matt Araiza,P,Chiefs,RFA,30.6,27.0,1075000.0,0.0,KC,ST,matt-araiza
Jordan Jackson,IDL,Broncos,RFA,7.6,29.0,1075000.0,0.0,DEN,IDL,jordan-jackson
Devon Key,S,Broncos,RFA,6.5,30.0,1075000.0,0.0,DEN,S,devon-key
Matt Waletzko,RT,Chiefs,UFA,0.0,28.0,1075000.0,0.0,KC,OL,matt-waletzko
Leonard Taylor,IDL,Patriots,RFA,9.3,25.0,1075000.0,0.0,NE,IDL,leonard-taylor
Jimmy Morrissey,C,Colts,UFA,0.0,29.0,1075000.0,0.0,IND,OL,jimmy-morrissey
Justin Dedich,C,Rams,RFA,43.7,27.0,1075000.0,0.0,LAR,OL,justin-dedich
Rex Sunahara,LS,Browns,RFA,29.4,31.0,1075000.0,0.0,CLE,ST,rex-sunahara
Ja'Tyre Carter,LG,Panthers,RFA,0.0,28.0,1075000.0,0.0,CAR,OL,jatyre-carter
Brittain Brown,RB,Bears,RFA,1.3,30.0,1075000.0,0.0,CHI,RB,brittain-brown
Dondrea Tillman,EDGE,Broncos,RFA,37.1,29.0,1075000.0,0.0,DEN,EDGE,dondrea-tillman
Cole Turner,TE,Dolphins,RFA,0.0,27.0,1075000.0,0.0,MIA,TE,cole-turner
Carter Warren,RT,Dolphins,RFA,0.0,28.0,1075000.0,0.0,MIA,OL,carter-warren
Jalen Coker,WR,Panthers,RFA,41.4,26.0,1075000.0,0.0,CAR,WR,jalen-coker
Josh Ross,S,Vikings,RFA,0.0,28.0,1075000.0,0.0,MIN,S,josh-ross
Timmy Horne,IDL,Titans,UFA,0.0,30.0,1075000.0,0.0,TEN,IDL,timmy-horne
Sidy Sow,RG,Texans,RFA,0.8,29.0,1075000.0,0.0,HOU,OL,sidy-sow
Jalen Virgil,WR,Bills,UFA,0.0,29.0,1075000.0,0.0,BUF,WR,jalen-virgil
Keir Thomas,EDGE,Rams,UFA,0.0,29.0,1075000.0,0.0,LAR,EDGE,keir-thomas
Jamari Thrash,WR,Browns,RFA,19.9,27.0,1075000.0,0.0,CLE,WR,jamari-thrash
K.J. Henry,EDGE,Steelers,RFA,0.0,28.0,1075000.0,0.0,PIT,EDGE,kj-henry
Darius Rush,CB,Commanders,RFA,0.0,27.0,1075000.0,0.0,WAS,CB,darius-rush
Damarion Williams,CB,Buccaneers,RFA,8.4,29.0,1075000.0,0.0,TB,CB,damarion-williams
Michael Niese,LG,Lions,RFA,1.1,29.0,1075000.0,0.0,DET,OL,michael-niese
Sean Clifford,QB,Bengals,RFA,0.0,29.0,1075000.0,0.0,CIN,QB,sean-clifford
A.J. Finley,S,Seahawks,UFA,0.0,26.0,1075000.0,0.0,SEA,S,aj-finley
Cam Grandy,TE,Bengals,RFA,2.5,28.0,1075000.0,0.0,CIN,TE,cam-grandy
Nic Jones,CB,Giants,RFA,1.8,26.0,1075000.0,0.0,NYG,CB,nic-jones
Cody Schrader,RB,Broncos,UFA,0.0,28.0,1075000.0,0.0,DEN,RB,cody-schrader
Jalen Redmond,IDL,Vikings,RFA,74.1,28.0,1075000.0,0.0,MIN,IDL,jalen-redmond
Joshua Karty,K,Cardinals,RFA,17.1,25.0,1075000.0,0.0,ARI,ST,joshua-karty
