name,pos_detail,team_full,fa_type,snap_pct,age,prior_apy,prior_gtd,team,pos_group,slug
Dyami Brown,WR,Commanders,UFA,31.0,28.0,1750000.0,250000.0,WAS,WR,dyami-brown
Esezi Otomewo,EDGE,Steelers,UFA,14.9,28.0,1750000.0,187500.0,PIT,EDGE,esezi-otomewo
Andrew DePaola,LS,Vikings,UFA,29.8,40.0,1725000.0,1725000.0,MIN,ST,andrew-depaola
Brevin Jordan,TE,Texans,UFA,0.0,27.0,1720000.0,200000.0,HOU,TE,brevin-jordan
Zach Charbonnet,RB,Seahawks,UFA,45.4,26.0,1719020.0,3813333.0,SEA,RB,zach-charbonnet
James Winchester,LS,Chiefs,UFA,30.6,38.0,1700000.0,1700000.0,KC,ST,james-winchester
Brenton Cox Jr.,EDGE,Packers,UFA,7.1,27.0,1695000.0,250000.0,GB,EDGE,brenton-cox-jr
Gervon Dexter,IDL,Bears,UFA,62.0,27.0,1680933.0,3695612.0,CHI,IDL,gervon-dexter
James Mitchell,TE,Panthers,UFA,4.4,28.0,1655000.0,590000.0,CAR,TE,james-mitchell
Ko Kieft,TE,Buccaneers,UFA,2.6,29.0,1650000.0,600000.0,TB,TE,ko-kieft
Khalil Dorsey,CB,Lions,UFA,3.3,29.0,1650000.0,300000.0,DET,CB,khalil-dorsey
Tuli Tuipulotu,EDGE,Chargers,UFA,72.2,25.0,1642846.0,3577887.0,LAC,EDGE,tuli-tuipulotu
Nate Adkins,TE,Broncos,UFA,17.5,28.0,1635000.0,300000.0,DEN,TE,nate-adkins
Rashee Rice,WR,Chiefs,UFA,37.3,27.0,1623805.0,3519033.0,KC,WR,rashee-rice
Ian Thomas,TE,Raiders,UFA,32.0,31.0,1615000.0,612500.0,LV,TE,ian-thomas
Tyrique Stevenson,CB,Bears,UFA,54.8,27.0,1612376.0,3483707.0,CHI,CB,tyrique-stevenson
Matt Gay,K,Raiders,UFA,25.4,33.0,1600000.0,1350000.0,LV,ST,matt-gay
Emanuel Wilson,RB,Seahawks,UFA,31.0,28.0,1595000.0,550000.0,SEA,RB,emanuel-wilson
John Michael Schmitz,C,Giants,UFA,68.5,28.0,1593334.0,3424849.0,NYG,OL,john-michael-schmitz
Jalen Davis,CB,Bengals,UFA,24.8,31.0,1575000.0,100000.0,CIN,CB,jalen-davis
Luke Schoonmaker,TE,Cowboys,UFA,33.0,29.0,1566670.0,3342433.0,DAL,TE,luke-schoonmaker
O'Cyrus Torrence,RG,Bills,UFA,99.7,27.0,1555245.0,3307120.0,BUF,OL,ocyrus-torrence
Christian Rozeboom,LB,Buccaneers,UFA,77.9,30.0,1550000.0,950000.0,TB,LB,christian-rozeboom
Marcus Epps,S,Eagles,Void,22.2,31.0,1550000.0,125000.0,PHI,S,marcus-epps
D.J. Turner,CB,Bengals,UFA,89.4,27.0,1540010.0,3260030.0,CIN,CB,dj-turner
